George Lamming,glamming,writer,,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Fort-de-France, Martinique",1993-12-03,,George Lamming Collection,,1993-12-12,,Flight itinerary,,,fort_de_france_martinique,Fort-de-France,,Martinique,,,,
Barbados,1993-12-12,,George Lamming Collection,,,,Flight itinerary,,,barbados,,,Barbados,,,,
"London, England",1994-12,,George Lamming Collection,,,,Lamming says in a letter to Dorothy Figueroa that he returned to London in December. Letter dated February,,,london_england,London,,U.K.,,,,
Barbados,,1995-02-09,George Lamming Collection,,,,Lamming has a letter sent from Barbados with this date,,,barbados,,,Barbados,,,,
Barbados,1995,,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Kingston, Jamaica",,1996-03,George Lamming Collection,,,,Gives the opening lecture at the Rex Nettleford Cultural Conference,,,kingston_jamaica,Kingston,,Jamaica,,,,
"Lewisburg, Pennsylvania, USA",1996-04-01,,George Lamming Collection,,1996-04-04,,Lamming gives a lecture at Bucknell University,,,lewisburg_pennsylvania_usa,Lewisburg,Pennsylvania,USA,,,,
"Coral Gables, Florida, USA",1996,,George Lamming Collection,,,,Forms from 1996 Caribbean Writers Summer seminar,,,coral_gables_florida_usa,Coral Gables,,Florida,,,,
"Saint Croix, Virgin Islands",,1996-11,George Lamming Collection,,,,Letter from Caryl Phillips dated Nov 11 1996 about meeting him in Saint Croix the other weekend. Lamming's handwritten notes mentions he was in New York,,,saint_croix_virgin_islands,St. Croix,,Virgin Islands,,,,
"New York, New York, USA",,1996-11,Schwarz 16,,1997-08-11,George Lamming Collection,Departure date from flight itinerary,,,new_york_new_york_usa,New York,NY,USA,,,,
"Port-of-Spain, Trinidad",1997-08-11,,George Lamming Collection,,1997-08-19,,Flight itinerary,,,port_of_spain_trinidad,Port-of-Spain,,Trinidad,,,,
Barbados,1997-08-19,,George Lamming Collection,,,,Flight itinerary,,,barbados,,,Barbados,,,,
Barbados,,1998-01-01,George Lamming Collection,,1998-04-26,,1998 dayplanner suggests he is in Barbados from 1998-01-01  to 1998-04,,,barbados,,,Barbados,,,,
"Kingston, Jamaica",1998-04-26,,George Lamming Collection,,1998-05-08,,"Trip information from notes in 1998 appointment book - he may be going in connection with a ""Commonwealth Literature"" event",,,kingston_jamaica,,,Jamaica,,,,
Barbados,1998-05-08,,George Lamming Collection,,1998-05-24,,1998 appointment book,,,barbados,,,Barbados,,,,
Trinidad,1998-05-24,,George Lamming Collection,,1998-05-31,,1998 appointment book,,,trinidad,,,Trinidad,,,,
Barbados,1998-05-31,,George Lamming Collection,,1998-06-21,,1998 appointment book,,,barbados,,,Barbados,,,,
"London, England",1998-06-21,,George Lamming Collection,,1998-07-01,,1998 appointment book,,,london_england,London,,U.K.,,,,
Barbados,1998-07-01,,George Lamming Collection,,1998-08-20,,1998 appointment book,,,barbados,,,Barbados,,,,
"New York, New York, USA",1998-08-23,,George Lamming Collection,,,,Visiting Professor at City College of the University of New York until 2000. Flight itinerary gives arrival date,,,new_york_new_york_usa,New York,New York,USA,,,,
"Binghamton, New York",1998-11-05,,George Lamming Collection,,1998-11-08,,1998 appointment book. Lamming attends and speaks at the Binghamton University conference on Walter Rodney. ,,,binghamton_new_york,Binghamton,New York,U.S.A.,,,,
"New York, New York, USA",1998-11-08,,George Lamming Collection,,1998-11-27,,1998 appointment book,,,new_york_new_york_usa,New York,NY,USA,,,,
"Washington, D.C., USA",1998-11-27,,George Lamming Collection,,1998-11-28,,1998 appointment book - he seems to have gone to D.C. for Thanksgiving,,,washington_dc._usa,Washington,D.C.,USA,,,,
"New York, New York, USA",1998-11-28,,George Lamming Collection,,1998-12-20,,"There is an entry on 12-19 that says ""JFK airport hotel"" but it is unclear where he went",,,new_york_new_york_usa,New York,NY,USA,,,,
"New York, New York, USA",1998,,George Lamming Collection,,2000,,Visiting Professor at City College of the University of New York until 2000,,,new_york_new_york_usa,New York,NY,USA,,,,
Trinidad,,,George Lamming Collection,,2000-01-06,,2000 appointment book. He is between Trinidad and Barbados this month - exact dates hard to infer,,,trinidad,,,Trinidad,,,,
Barbados,2000-01-06,,George Lamming Collection,,2000-01-22,,2000 appointment book. He is between Trinidad and Barbados this month - exact dates hard to infer,,,barbados,,,Barbados,,,,
"New York, New York, USA",2000-01-23,,George Lamming Collection,,2000-01-30,,2000 appointment book,,,new_york_new_york_usa,New York,NY,USA,,,,
"Boston, Massachusetts, USA",2000-01-30,,George Lamming Collection,,2000-02-01,,2000 appointment book,,,boston_massachusetts_usa,Boston,Massachussetts,USA,,,,
"New York, New York, USA",2000-02-01,,George Lamming Collection,,2000-06-05,,2000 appointment book,,,new_york_new_york_usa,New York,NY,USA,,,,
"Chicago, Illinois, USA",2000-06-05,,George Lamming Collection,,2000-06-09,,2000 appointment book,,,chicago_illinois_usa,Chicago,Illinois,USA,,,,
"New York, New York, USA",2000-06-09,,George Lamming Collection,,2000-06-12,,"2000 appointment book, dates less clear",,,new_york_new_york_usa,New York,NY,USA,,,,
Barbados,2000-06-12,,George Lamming Collection,,2000-08-05,,2000 appointment book. By now Lamming is based in the Atlantis Hotel,,,barbados,,,Barbados,,,,
"Kingston, Jamaica",2000-08-05,,George Lamming Collection,,2000-08-24,,"2000 appointment book, departure less clear",,,kingston_jamaica,Kingston,,Jamaica,,,,
Trinidad,2000-08-24,,George Lamming Collection,,2000-09-01,,"2000 appointment book, destination less clear but prices begin appearing in TT",,,trinidad,,,Trinidad,,,,
Barbados,2000-09-01,,George Lamming Collection,2000-12-31,,,2000 appointment book,,,barbados,,,Barbados,,,,
Barbados,,2001,Schwarz 16,2002,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Toronto, Canada",,2002,"Lamming ""Identity""",,,,Gives the 2002 Jagan lecture,,,toronto_canada,Toronto,,Canada,,,,
Barbados,,2002-04-10,George Lamming Collection,,,,Photocopy of his passport. April 10th was the date the passport was issued (first stamp),,,barbados,,,Barbados,,,,
Barbados,2002-10-06,,George Lamming Collection,,,,Passport stamp,,,barbados,,,Barbados,,,,
"Durham, North Carolina",2003-01-05,,George Lamming Collection,,2003-05,, 2003 Semans Distinguished International Professor. Passport stamps confirm dates,,,durham_north_carolina,Durham,North Carolina,U.S.A.,,,,
Barbados,2003-05-08,,George Lamming Collection,,,,Passport stamp,,,barbados,,,Barbados,,,,
"Kingston, Jamaica",2003-06-04,,Lamming Sovereignty 29,2003-06-07,,,"Gives lecture ""Sovereignty of the Imagination"" at conference in his honour hosted by the Centre for Caribbean Thought at UWI-Mona. Passport stamps give the dates",,,kingston_jamaica,Kingston/Mona,,Jamaica,,,,
Barbados,2003-06-12,,George Lamming Collection,,,,Passport stamp,,,barbados,,,Barbados,,,,
St. Maarten,2003-06-20,,George Lamming Collection,,,,Passport stamp,,,st_maarten,,,St. Maarten,,,,
Barbados,2003-06-22,,George Lamming Collection,,,,Passport stamp,,,barbados,,,Barbados,,,,
Barbados,2003-10-06,,George Lamming Collection,,,,Passport stamp,,,barbados,,,Barbados,,,,
"London, England",,2003-10-25,George Lamming Collection,,2003-11,,Materials in his uncatalogued collection (an email from Richard Drayton) give these dates for a visit that includes a lecture,,,london_england,London,,U.K.,,,,
"Saint Augustine, Trinidad",2004-01-06,,Lamming Sovereignty 81,,,,"Gives lecture ""Language and the Politics of Ethnicity"" at UWI-St. Augustine. Passport stamp in George Lamming Collections",,,saint_augustine_trinidad,St. Augustine,,Trinidad,,,,
Antigua,2004-01-15,,George Lamming Collection,,,,Passport stamp,,,antigua,,,Antigua,,,,
Jamaica,2004-01-17,,George Lamming Collection,,,,Passport stamp,,,jamaica,,,Jamaica,,,,
"Bridgetown, Barbados",,2004-05-17,George Lamming Collection,,,,Lamming gives a lecture at Frank Collymore Hall,,,bridgetown_barbados,,,Barbados,,,,
USA,2004-08-23,,George Lamming Collection,,,,Passport stamp (last stamp),,,usa,,,USA,,,,
"Miami, Florida, USA",,2004-09-17,George Lamming Collection,,,,Gives the Eric Williams Memorial Lecture at Florida International University,,,miami_florida_usa,Miami,Florida,USA,,,,
Barbados,,2004,Schwarz 16,,,,"Assumed, as he was based in Barbados during this period",,,barbados,,,Barbados,,,,
"Providence, Rhode Island",2004-09,,George Lamming Collection,,,, Visiting Professor at Brown University,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
"New Orleans, Louisiana",,2004-11-18,George Lamming Collection,,,,Gives a lecture at Dillard University,,,new_orleans_louisiana,New Orleans,Louisiana,USA,,,,
"Providence, Rhode Island",,,George Lamming Collection,,2004-12,, Visiting Professor at Brown University,,,providence_rhode_island,Providence,Rhode Island,USA,,,,
