City,Region,Country,PlaceName,PlaceID,Lat,Long
Quebec,,Canada,"Quebec, Canada",quebec_canada,52.9399159,-73.5491361
Algiers,,Algeria,"Algiers, Algeria",algiers_algeria,36.753768,3.0587561
Shanghai,,China,"Shanghai, China",shanghai_china,31.2303904,121.4737021
Hanoi,,Vietnam,"Hanoi, Vietnam",hanoi_vietnam,21.0277644,105.8341598
Albissola,"Savona, Liguria",Italy,"Albissola, Savona, Liguria, Italy",albissola_savona_liguria_italy,44.3263602,8.5012243
Saint Gall,,Switzerland,"Saint Gall, Switzerland",saint_gall_switzerland,47.4244818,9.3767173
Barcelona,,Spain,"Barcelona, Spain",barcelona_spain,41.3850639,2.1734035
Madrid,,Spain,"Madrid, Spain",madrid_spain,40.4167754,-3.7037902
Alicante,,Spain,"Alicante, Spain",alicante_spain,38.3459963,-0.4906855
Mougins,,France,"Mougins, France",mougins_france,43.6023319,7.006491
Falun,Dalama County,Sweden,"Falun, Dalama County, Sweden",falun_dalama_county_sweden,60.60646,15.6355
Saché,Indre-et-Loire,France,"Saché, Indre-et-Loire, France",sache_indre_et_loire_france,47.246625,0.543334
Rappalo,Genoa,Italy,"Rappalo, Genoa, Italy",rappalo_genoa_italy,44.3498211,9.2338889
Caracas,,Venezuela,"Caracas, Venezuela",caracas_venezuela,10.4805937,-66.9036063
Maracaibo,,Venezuela,"Maracaibo, Venezuela",maracaibo_venezuela,10.642707,-71.6125366
Santiago de las Vegas,,Cuba,"Santiago de las Vegas, Cuba",santiago_de_las_vegas_cuba,22.9702067,-82.3858672
Cannes,,France,"Cannes, France",cannes_france,43.552847,7.017369
Sagua La Grande,,Cuba,"Sagua La Grande, Cuba",sagua_la_grande_cuba,22.8037709,-80.0702555
Lagos,,Nigeria,"Lagos, Nigeria",lagos_nigeria,6.5243793,3.3792057
Ibadan,,Nigeria,"Ibadan, Nigeria",ibadan_nigeria,7.3775355,3.9470396
Glasgow,,Scotland,"Glasgow, Scotland",glasgow_scotland,55.864237,-4.251806
Manchester,,England,"Manchester, England",manchester_england,53.4807593,-2.2426305
Hull,,England,"Hull, England",hull_england,53.7456709,-0.3367413
Margate,,England,"Margate, England",margate_england,51.389646,1.3868339
Ramsgate,,England,"Ramsgate, England",ramsgate_england,,
Brighton,,England,"Brighton, England",brighton_england,,
Kankan,,Guinea,"Kankan, Guinea",kankan_guinea,10.3827887,-9.3118282
Conakry,,Guinea,"Conakry, Guinea",conakry_guinea,,
Lyon,,France,"Lyon, France",lyon_france,,
Rabat,,Morocco,"Rabat, Morocco",rabat_morocco,,
Lisbon,,Portugal,"Lisbon, Portugal",lisbon_portugal,,
Tunis,,Tunisia,"Tunis, Tunisia",tunis_tunisia,36.8064948,10.1815316
Bethesda,Maryland,USA,"Bethesda, Maryland, USA",bethesda_maryland_usa,,
Pontorson,Manche,France,"Pontorson, Manche, France",pontorson_manche_france,48.553872,-1.509877
Blida,,Algeria,"Blida, Algeria",blida_algeria,,
Rouen,Seine-Maritime,France,"Rouen, Seine-Maritime, France",rouen_seine_maritime_france,49.443232,1.099971
Joplin,Missouri,USA,"Joplin, Missouri, USA",joplin_missouri_usa,37.0842271,-94.513281
Lawrence,Kansas,USA,"Lawrence, Kansas, USA",lawrence_kansas_usa,,
Topeka,Kansas,USA,"Topeka, Kansas, USA",topeka_kansas_usa,,
Lincoln,Illinois,USA,"Lincoln, Illinois, USA",lincoln_illinois_usa,,
Toluca,,Mexico,"Toluca, Mexico",toluca_mexico,,
Jones Point,New York,USA,"Jones Point, New York, USA",jones_point_new_york_usa,,
Horta,,Azores,"Horta, Azores",horta_azores,,
Port of Bonny,Rivers State,Nigeria,"Port of Bonny, Rivers State, Nigeria",port_of_bonny_rivers_state_nigeria,4.43385,7.1782
Dawes Island,,Nigeria,"Dawes Island, Nigeria",dawes_island_nigeria,,
Port of Harcourt,,Nigeria,"Port of Harcourt, Nigeria",port_of_harcourt_nigeria,,
Boma,Kongo Central,Democratic Republic of Congo,"Boma, Kongo Central, Democratic Republic of Congo",boma_kongo_central_democratic_republic_of_congo,-5.85114,13.05358
