Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Florence, Italy",1950-02-23,,Love Letters from I Tatti Vol 1,,1950-02-26,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950; also letters specify lunch with Berenson on 2-24 in Florence,,,,Florence,,Italy
"Bologna, Italy",1950-02-27,,Love Letters from I Tatti Vol 1,,1950-02-28,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950,,,,Bologna,,Italy
"Milan, Italy",1950-03-02,,Das 2014; Love Letters from I Tatti,,1950-03-12,Das 2014; Love Letters from I Tatti,Performances an an art gallery showing of her paintings; dates also listed in letter to Berenson from Paris on 17 January 1950 ,,,,Milan,,Italy
"New York, New York, USA",1950-04-19,,Das 2014,,1950-05-20,Das 2014,Rhapsodie Caraïbe on Broadway,,,,New York,New York,US
"Sao Paolo, Brazil",1950-07-10,,Das 2014,,1950-07-18,Das 2014,Dunham's hotel reservation at the Esplanada canceled; arranges protest with Gilberto Freyre; national anti-discrimination law passed as a result,,,,Sao Paolo,,Brazil
"Buenos Aires, Argentina",1950-08,,Love Letters from I Tatti Vol 1,,1950-08,Love Letters from I Tatti Vol 1,"Telegram sent to Berenson from Hotel Crillon, Buenos Aires",,,,Buenos Aires,,Argentina
"Montevideo, Uruguay",1950-08,,Das 2014,,1950-08,Das 2014,On tour in Uruguay,,,,Montevideo,,Uruguay
"Montevideo, Uruguay",1950-08-17,,Love Letters from I Tatti Vol 1,,1950-08-17,Love Letters from I Tatti Vol 1,"Letter Sent to Berenson from Teatro Artigas, Montevideo",,,,Montevideo,,Uruguay
"Buenos Aires, Argentina",1950-10,,"Clark and Johnson 2005, 348",,1950-12,"Clark and Johnson 2005, 348","(Timing described as ""end of 1950"") Researches, composes, choreographs, designs and rehearses Southland",,,,Buenos Aires,,Argentina
"Buenos Aires, Argentina",1950-11-14,,Love Letters from I Tatti Vol 1,,1950-11-14,Love Letters from I Tatti Vol 1,Writes letter to Berenson,,,,Buenos Aires,,Argentina
"Santiago, Chile",1950-11-28,,Das 2014,,1950-11-28,Das 2014,Arrives in Chile,,,,Santiago,,Chile
"Santiago, Chile",1950-12-09,,"Clark and Johnson 2005, 345",,1950-12-09,"Clark and Johnson 2005, 345",Premiers Southland at Teatro Municipal ,,,,Santiago,,Chile
"Mar de Plata, Argentina",1950-12-14,,Das 2014,,1950-12-31,Das 2014,On vacation in Mar de Plata; snubbed by U.S. embassy officials,,,,Mar de Plata,,Argentina
"Lima, Peru",1951-01,,Das 2014,,1951-01,Das 2014,Performances in Peru; welcomed warmly by U.S. ambassador,,,,Lima,,Peru
Colombia,1951-02,,Das 2014,,1951-02,Das 2014,Performances in Colombia,,,,,,Colombia
Ecuador,1951-03,,Das 2014,,1951-03,Das 2014,Performances in Ecuador,,,,,,Ecuador
"Kingston, Jamaica",1951-04-,,Das 2014,,1951-04,Das 2014,Performances in Jamaica; Appendix removed,,,,Kingston,,Jamaica
